# One row per public DJ set I want to analyse. `id` becomes the audio filename,,,,
# and the key every feature row is tagged with, so keep it short and unique.,,,
# `genre_hint` is optional and only used to sanity-check the vibe clusters,,,,
# later; the model never sees it. Fill `url` with a public set link.,,,,
id,artist,event,genre_hint,url
john-summit-ultra-miami-2026,John Summit,Ultra Miami 2026,"tech-house, deep-house",https://soundcloud.com/johnsummit/john-summit-live-ultra-miami
tommy-holohan-liberty-hall-sydney-2025,Tommy Holohan,"Liberty Hall, Sydney 2025",techno,https://soundcloud.com/tommy-holohan/tommy-holohan-liberty-hall
marlon-hoffstadt-coachella-2026,Marlon Hoffstadt,Coachella 2026,trance,https://soundcloud.com/cathalcanavan/marlon-hoffstadt-coachella
subtronics-edc-lv-2026,Subtronics,EDC Las Vegas 2026,dubstep,https://soundcloud.com/johnnykham-745185291/subtronics-edc-las-vegas-2026
kettama-edc-lv-2026,Kettama,EDC Las Vegas 2026,house,https://soundcloud.com/user-887841780/kettama-edc-festival-2026-las
chloe-baillet-b2b-salute-edc-lv-2026,Chloe Caillet B2B Salute,EDC Las Vegas 2026,house,https://soundcloud.com/oceanologymusic/chlo-caillet-b2b-salute-edc
john-summit-tomorrowland-2025,John Summit,Tomorrowland 2025,tech-house,https://soundcloud.com/johnsummit/tomorrowland-freedom-stage-2025
charlotte-de-witte-tomorrowland-2025,Charlotte de Witte,Tomorrowland 2025,techno,https://soundcloud.com/charlottedewittemusic/tomorrowland2025closing
sammy-virji-tomorrowland-2025,Sammy Virji,Tomorrowland 2025,house,https://soundcloud.com/buggerbones/sammy-virji-live-at-tomorrowland-2025
morgan-seatree-parklife-festival-2025,Morgan Seatree,Parklife Festival 2025,house,https://soundcloud.com/morganseatree/morgan-seatree-live-parklife
vintage-culture-b2b-mochakk-coachella-2023,Vintage Culture B2B Mochakk,Coachella 2023,house,https://soundcloud.com/vintageculturemusic/vintage-culture-b2b-mochakk-coachella-dolab-stage-2023
